iter	Passed	Remaining
0	144	287872
1	152	152227
2	160	106560
3	167	83673
4	173	69209
5	178	59339
6	182	51867
7	185	46281
8	189	41909
9	193	38426
10	197	35693
11	201	33325
12	204	31282
13	208	29530
14	211	28044
15	215	26752
16	219	25568
17	222	24517
18	226	23591
19	230	22811
20	234	22097
21	237	21382
22	241	20727
23	244	20154
24	248	19623
25	251	19131
26	255	18676
27	259	18295
28	263	17933
29	267	17554
30	270	17198
31	274	16908
32	278	16601
33	281	16302
34	285	16013
35	288	15747
36	292	15504
37	295	15263
38	299	15055
39	303	14849
40	306	14644
41	310	14468
42	314	14293
43	317	14118
44	321	13955
45	324	13788
46	328	13635
47	331	13490
48	335	13338
49	338	13207
50	342	13084
51	345	12951
52	349	12826
53	352	12716
54	356	12598
55	359	12497
56	363	12391
57	367	12294
58	370	12200
59	374	12111
60	378	12022
61	381	11930
62	384	11836
63	388	11749
64	392	11670
65	395	11587
66	398	11504
67	402	11431
68	405	11355
69	409	11286
70	412	11217
71	416	11153
72	420	11087
73	423	11020
74	426	10958
75	430	10897
76	434	10839
77	437	10786
78	441	10745
79	445	10689
80	448	10629
81	452	10576
82	455	10524
83	459	10477
84	462	10424
85	466	10375
86	469	10325
87	473	10282
88	476	10241
89	480	10193
90	483	10148
91	487	10102
92	490	10066
93	494	10026
94	497	9983
95	501	9941
96	504	9903
97	508	9864
98	512	9832
99	516	9805
100	519	9774
101	523	9734
102	526	9700
103	530	9663
104	533	9632
105	537	9597
106	540	9563
107	543	9527
108	547	9497
109	550	9466
110	554	9438
111	558	9407
112	561	9376
113	565	9350
114	569	9338
115	573	9312
116	576	9285
117	581	9275
118	584	9245
119	588	9217
120	591	9189
121	595	9166
122	598	9138
123	602	9111
124	605	9085
125	609	9058
126	612	9031
127	615	9008
128	619	8982
129	622	8957
130	626	8936
131	629	8909
132	632	8884
133	636	8862
134	640	8848
135	644	8837
136	648	8818
137	651	8794
138	655	8778
139	659	8759
140	662	8737
141	666	8716
142	669	8697
143	673	8676
144	676	8657
145	680	8637
146	683	8621
147	687	8601
148	690	8581
149	695	8573
150	699	8568
151	704	8560
152	708	8551
153	712	8542
154	716	8532
155	721	8524
156	725	8514
157	729	8506
158	733	8487
159	736	8469
160	740	8455
161	743	8438
162	747	8419
163	750	8403
164	753	8385
165	757	8370
166	761	8361
167	765	8344
168	768	8327
169	772	8311
170	775	8298
171	779	8283
172	783	8270
173	786	8251
174	789	8237
175	793	8223
176	796	8208
177	800	8194
178	804	8182
179	807	8167
180	811	8151
181	814	8139
182	818	8129
183	822	8113
184	825	8099
185	829	8088
186	833	8076
187	836	8062
188	840	8049
189	843	8034
190	846	8017
191	849	8004
192	853	7989
193	856	7976
194	860	7964
195	864	7958
196	868	7951
197	872	7937
198	875	7923
199	879	7911
200	882	7898
201	885	7884
202	889	7871
203	893	7862
204	896	7849
205	899	7837
206	903	7824
207	906	7813
208	910	7800
209	913	7790
210	917	7777
211	921	7771
212	925	7760
213	928	7748
214	931	7735
215	935	7723
216	939	7720
217	943	7708
218	946	7696
219	950	7687
220	954	7682
221	958	7673
222	961	7664
223	965	7652
224	968	7643
225	972	7631
226	975	7622
227	979	7610
228	983	7602
229	986	7591
230	990	7582
231	993	7569
232	997	7562
233	1000	7552
234	1004	7546
235	1008	7537
236	1013	7539
237	1017	7536
238	1021	7528
239	1025	7523
240	1029	7514
241	1034	7511
242	1037	7504
243	1041	7497
244	1046	7493
245	1049	7485
246	1055	7489
247	1061	7496
248	1064	7488
249	1069	7483
250	1074	7484
251	1078	7478
252	1082	7477
253	1086	7471
254	1090	7464
255	1095	7460
256	1099	7454
257	1103	7451
258	1107	7446
259	1111	7437
260	1116	7436
261	1120	7430
262	1124	7427
263	1129	7426
264	1132	7417
265	1137	7412
266	1141	7406
267	1146	7410
268	1151	7412
269	1156	7410
270	1161	7407
271	1167	7416
272	1171	7414
273	1175	7407
274	1181	7408
275	1185	7406
276	1189	7397
277	1194	7401
278	1200	7404
279	1206	7410
280	1214	7427
281	1220	7436
282	1228	7451
283	1233	7455
284	1238	7453
285	1243	7453
286	1248	7449
287	1251	7440
288	1256	7438
289	1262	7441
290	1265	7433
291	1270	7431
292	1276	7435
293	1280	7428
294	1285	7429
295	1288	7420
296	1292	7413
297	1297	7410
298	1301	7406
299	1305	7399
300	1309	7392
301	1313	7385
302	1317	7379
303	1321	7370
304	1325	7366
305	1329	7359
306	1332	7349
307	1336	7343
308	1340	7338
309	1344	7329
310	1348	7322
311	1351	7313
312	1355	7306
313	1359	7299
314	1363	7294
315	1367	7286
316	1371	7280
317	1374	7270
318	1378	7262
319	1381	7253
320	1385	7249
321	1389	7241
322	1394	7238
323	1398	7231
324	1402	7230
325	1407	7227
326	1411	7220
327	1415	7214
328	1420	7213
329	1424	7206
330	1428	7202
331	1432	7196
332	1436	7189
333	1440	7186
334	1444	7178
335	1448	7174
336	1452	7166
337	1456	7161
338	1460	7157
339	1464	7151
340	1469	7147
341	1472	7139
342	1477	7138
343	1482	7138
344	1487	7138
345	1493	7139
346	1498	7138
347	1503	7134
348	1506	7128
349	1510	7120
350	1513	7112
351	1517	7104
352	1521	7097
353	1524	7088
354	1527	7080
355	1531	7071
356	1534	7063
357	1538	7054
358	1541	7046
359	1545	7038
360	1548	7032
361	1553	7029
362	1557	7022
363	1560	7012
364	1563	7005
365	1567	6999
366	1571	6992
367	1574	6984
368	1578	6976
369	1581	6968
370	1585	6961
371	1589	6954
372	1592	6946
373	1596	6940
374	1601	6938
375	1604	6931
376	1608	6923
377	1611	6916
378	1615	6907
379	1618	6900
380	1622	6895
381	1627	6891
382	1630	6885
383	1634	6879
384	1638	6872
385	1641	6865
386	1645	6856
387	1649	6851
388	1652	6843
389	1657	6843
390	1662	6843
391	1667	6839
392	1671	6835
393	1676	6831
394	1681	6831
395	1685	6826
396	1688	6819
397	1692	6812
398	1696	6806
399	1700	6800
400	1703	6794
401	1707	6786
402	1711	6782
403	1714	6774
404	1718	6769
405	1722	6762
406	1726	6758
407	1730	6750
408	1733	6745
409	1737	6738
410	1741	6732
411	1745	6728
412	1749	6721
413	1753	6717
414	1757	6710
415	1761	6705
416	1764	6699
417	1768	6693
418	1772	6687
419	1776	6682
420	1780	6678
421	1785	6675
422	1790	6673
423	1794	6669
424	1798	6664
425	1802	6659
426	1806	6653
427	1809	6647
428	1813	6641
429	1817	6635
430	1821	6629
431	1824	6623
432	1828	6618
433	1832	6611
434	1836	6606
435	1839	6598
436	1843	6594
437	1847	6589
438	1851	6584
439	1855	6579
440	1859	6572
441	1863	6569
442	1867	6562
443	1871	6557
444	1874	6550
445	1878	6545
446	1882	6539
447	1886	6535
448	1890	6529
449	1893	6522
450	1898	6519
451	1901	6512
452	1905	6508
453	1909	6501
454	1913	6495
455	1917	6490
456	1920	6484
457	1924	6479
458	1927	6472
459	1931	6467
460	1935	6460
461	1938	6454
462	1942	6448
463	1946	6442
464	1949	6435
465	1953	6429
466	1956	6422
467	1959	6415
468	1963	6408
469	1966	6403
470	1970	6396
471	1974	6390
472	1977	6384
473	1981	6378
474	1984	6371
475	1987	6364
476	1991	6358
477	1994	6351
478	1998	6345
479	2001	6338
480	2005	6332
481	2008	6326
482	2012	6319
483	2015	6312
484	2018	6306
485	2022	6300
486	2025	6293
487	2029	6286
488	2032	6280
489	2036	6275
490	2039	6269
491	2043	6263
492	2046	6257
493	2050	6250
494	2053	6244
495	2057	6238
496	2060	6232
497	2064	6226
498	2067	6219
499	2071	6213
500	2074	6207
501	2078	6202
502	2082	6198
503	2086	6193
504	2090	6187
505	2094	6182
506	2097	6175
507	2100	6169
508	2104	6164
509	2107	6158
510	2111	6152
511	2114	6146
512	2118	6140
513	2122	6135
514	2125	6129
515	2129	6123
516	2132	6116
517	2135	6110
518	2139	6105
519	2143	6099
520	2146	6093
521	2149	6086
522	2153	6080
523	2156	6075
524	2160	6069
525	2163	6063
526	2167	6056
527	2170	6050
528	2173	6044
529	2177	6038
530	2180	6032
531	2184	6026
532	2187	6020
533	2190	6014
534	2194	6009
535	2198	6003
536	2201	5998
537	2205	5992
538	2208	5986
539	2212	5980
540	2215	5975
541	2219	5969
542	2222	5964
543	2226	5958
544	2230	5954
545	2233	5948
546	2237	5942
547	2240	5937
548	2244	5933
549	2248	5927
550	2251	5922
551	2255	5916
552	2259	5912
553	2263	5907
554	2266	5901
555	2270	5897
556	2274	5891
557	2277	5886
558	2281	5881
559	2285	5876
560	2288	5871
561	2293	5867
562	2297	5863
563	2301	5859
564	2305	5856
565	2309	5850
566	2313	5847
567	2317	5843
568	2322	5839
569	2326	5836
570	2330	5831
571	2335	5829
572	2339	5825
573	2342	5820
574	2348	5819
575	2351	5814
576	2356	5811
577	2360	5807
578	2364	5803
579	2368	5799
580	2372	5794
581	2377	5792
582	2382	5790
583	2386	5785
584	2390	5781
585	2396	5783
586	2402	5783
587	2406	5779
588	2410	5774
589	2413	5768
590	2417	5762
591	2420	5757
592	2424	5752
593	2427	5746
594	2431	5740
595	2434	5735
596	2438	5731
597	2442	5726
598	2445	5720
599	2449	5716
600	2453	5712
601	2457	5707
602	2461	5702
603	2465	5697
604	2469	5694
605	2473	5689
606	2476	5683
607	2480	5678
608	2483	5673
609	2487	5667
610	2491	5663
611	2495	5660
612	2499	5655
613	2502	5649
614	2506	5644
615	2510	5639
616	2513	5634
617	2517	5629
618	2521	5624
619	2525	5620
620	2528	5615
621	2532	5610
622	2535	5605
623	2539	5600
624	2543	5595
625	2546	5589
626	2550	5584
627	2556	5584
628	2559	5578
629	2563	5573
630	2566	5568
631	2570	5563
632	2573	5557
633	2577	5552
634	2580	5547
635	2584	5543
636	2588	5538
637	2592	5534
638	2595	5528
639	2599	5524
640	2604	5521
641	2608	5516
642	2611	5511
643	2615	5506
644	2618	5501
645	2622	5497
646	2627	5494
647	2631	5490
648	2635	5486
649	2638	5480
650	2642	5475
651	2645	5470
652	2649	5465
653	2652	5459
654	2655	5453
655	2659	5448
656	2663	5443
657	2666	5438
658	2669	5433
659	2673	5428
660	2676	5422
661	2680	5417
662	2684	5412
663	2688	5408
664	2691	5403
665	2695	5398
666	2698	5393
667	2703	5390
668	2707	5386
669	2711	5381
670	2714	5376
671	2718	5371
672	2721	5366
673	2725	5361
674	2728	5355
675	2731	5350
676	2735	5345
677	2738	5340
678	2742	5334
679	2745	5330
680	2749	5324
681	2752	5319
682	2756	5314
683	2759	5308
684	2762	5303
685	2766	5299
686	2769	5293
687	2773	5288
688	2776	5283
689	2780	5278
690	2783	5273
691	2786	5267
692	2790	5263
693	2794	5258
